Name,Stars,Title,Date,Description
Deepak saraf,4.0,"4.0 out of 5 stars
My view",01/02/2024,Really great toothpaste......... after and during brushing the whole of inside of mouth feels highly fresh ...
Dr. A. O. Surendranathan,4.0,"4.0 out of 5 stars
Make teeth white",14/02/2024,It is used to brush the teeth
Quader,4.0,"4.0 out of 5 stars
It worked",11/12/2023,"Yes, it worked. I was doing the trial as i was usnig pepsodent whitening. Since due to the shortage of pesodent, i was searching for an alternate. And yes, its satisfactory. You can use this for whitening purpose."
Bhawanchwadame L.,3.0,"3.0 out of 5 stars
Somewhat works",19/11/2023,"It doesn't whiten my teeth, but cleans it for sure. It's all about what I eat that matters in the end, so the toothpaste is good for its price."
Niti Gandhi,4.0,"4.0 out of 5 stars
Ok types",13/11/2023,It lightens the stain but doesn't remove it totally
Vijaydev,5.0,"5.0 out of 5 stars
It's gy",14/02/2024,Nice product good
S R K,3.0,"3.0 out of 5 stars
The effect will vary from user to user.",18/07/2023,"I have used this product for the past 15 days and see a very minimal change in teeth colour. However, please be advised that the effect of whitening will vary from user to user depending on the individual's habits of consuming tea, coffee, chewing Gutkha etc. I drink tea and coffee and the effect of this tooth paste has been slow but there is some different in the teeth colour. I am continuing to use it and will  update review later.As for the product and packaging, product is worth the value and packaging is not that great, but just normal and similar to other similar products. Amazon packaging, as usual, was really great. Delivery was great."
Manisha kanwar,5.0,"5.0 out of 5 stars
Whitening toothpaste",07/02/2024,It's working 😍
Girish Kadlag,3.0,"3.0 out of 5 stars
Nothing",05/11/2023,No performance at all and the quality is that bad but average and not useful as claimed. No results.
gogoiA,4.0,"4.0 out of 5 stars
As usual dental cream, nothing special",22/10/2023,"Can not remove stains, not found expected results, as claimed that would provide difference in 3 days"
Amy,5.0,"5.0 out of 5 stars
Best toothpaste I ever used",25/01/2024,My dentist recommended this and I loved the results.. I never got cavity after using this
Priyanka,4.0,"4.0 out of 5 stars
premium quality as promised",16/10/2023,anti stain property.... no gum irritation
KRUNAL M.,4.0,"4.0 out of 5 stars
Nice test...whitening not sure.",08/10/2023,Whitening experience not so far.. overall ok toothpaste.
Verified User,3.0,"3.0 out of 5 stars
Do not buy. Does not whiten teeth",14/09/2023,I used the entire tooth paste tube since purchase - using it twice a day (morning and before sleeping) but no visible effect.  The product description is flowery but does not work as stated.
Supriya Petkar,5.0,"5.0 out of 5 stars
Amazing product 👌👌",16/01/2024,Loved it ❤️
KS,3.0,"3.0 out of 5 stars
This doesn’t work as it claims",29/06/2023,"I have purchased it 15 days back, and since then using it regularly day and night,But it didn’t remove any stains, or I can’t even see the difference in teeth whitening (that wasn’t my aim),But it should have at least lighten the stains,This is just a normal toothpaste, nothing else,So don’t waste your money buying this expensive toothpaste, instead go with the Dabur Ayurvedik toothpaste"
SP,4.0,"4.0 out of 5 stars
Good toothpaste ,but not for daily use",28/08/2023,"Good toothpaste for teeth whitening ,but not for daily use .Use alternate day or twice a week .Daily use may affect mouth inner skin ."
g.prasad,4.0,"4.0 out of 5 stars
Good",18/09/2023,It's performance
Lionel Dsouza,5.0,"5.0 out of 5 stars
Nice paste",09/01/2024,Worth buy
SR,4.0,"4.0 out of 5 stars
It Works!!!",14/08/2023,"Not in 03 days, but I have got result within a week. So,it works as it claims !!"
Amazon Customer,2.0,"2.0 out of 5 stars
The packaging though.",20/11/2023,This is the 2nd time that I have had issues with the tube just breaking on its own. The toothpaste is great but the packaging is horrid. Fix the tube!!!!!
Sathish,3.0,"3.0 out of 5 stars
Good",11/09/2023,Good
SANJAY GAJBHIYE,3.0,"3.0 out of 5 stars
nice product",08/09/2023,still under observation
azher,3.0,"3.0 out of 5 stars
Average",18/08/2023,I used it for a month no change in my tooth stain
Bats,4.0,"4.0 out of 5 stars
Good product",26/08/2023,It lighten my teeth
SAGAR SAMADDAR,5.0,"5.0 out of 5 stars
Cleans stains",17/12/2023,It's true that it really clears the stains in your teeth provided that it is used as per recommendation.
Dinesh Pandit,5.0,"5.0 out of 5 stars
क्वालिटी उन्नत है",23/12/2023,बहुत अच्छा है यह प्रोडक्ट धन्यवाद अमेजन
Prashant ( new delhi),4.0,"4.0 out of 5 stars
Doctor's recommendation",25/06/2023,Anyone can use it and One of the good toothpaste recommended by my doctor. You should too first talk to your doctor. Then go for anything.
Sasanka Sekhar Mishra,2.0,"2.0 out of 5 stars
Not good",20/11/2023,Does not work for Pan strains.
Pooja Sonetha,4.0,"4.0 out of 5 stars
Effective in reducing stains",29/05/2023,The toothpaste is refreshing and smells good.It helps in reducing the stains.For effective results use twice daily.
kapil,4.0,"4.0 out of 5 stars
Whitening",11/07/2023,
Muskan M,4.0,"4.0 out of 5 stars
Good product 👍",12/07/2023,
hatismn,4.0,"4.0 out of 5 stars
Good",16/07/2023,Good
shaleen sharma,4.0,"4.0 out of 5 stars
Good",10/07/2023,
Surbhi Gupta,4.0,"4.0 out of 5 stars
Nice product",06/07/2023,
karuna nagar,4.0,"4.0 out of 5 stars
Good toothpaste",17/05/2023,I tried this toothpaste it gives you fresh feel. Taste good and mouth refreshing all day. go for it.
Karisma Mishra,4.0,"4.0 out of 5 stars
Good",30/06/2023,
Basudev Samal,4.0,"4.0 out of 5 stars
Good one",30/06/2023,
Bubun,4.0,"4.0 out of 5 stars
Whitening capabilities",30/06/2023,
Ritika Jain,4.0,"4.0 out of 5 stars
Product",30/06/2023,
Vishwas Jain,4.0,"4.0 out of 5 stars
New product",28/05/2023,It's a good new type of product in the market. And also working good
Bhavesh Srivastava,4.0,"4.0 out of 5 stars
Toothpaste",01/07/2023,
Placeholder,2.0,"2.0 out of 5 stars
Useless",05/11/2023,Useless products in name of teeth whitening
santos,5.0,"5.0 out of 5 stars
Nice Product",24/11/2023,Tried by two members of family and result is awesome.
Sanjana,3.0,"3.0 out of 5 stars
I like the product",06/06/2023,Very nice nd taste is really good clear your gems of teeth
Amninder,2.0,"2.0 out of 5 stars
Not useful",09/11/2023,Money wasted
Rahul,2.0,"2.0 out of 5 stars
Just taste better , nothing more than that",07/10/2023,"Just a gimmick toothpaste that taste better.I don't see any visible results even after 2 weeks of 2 times usage, that too with my electric toothbrush."
Samita panigrahi,5.0,"5.0 out of 5 stars
👍🏻👍🏻👍🏻",02/12/2023,Good product
nikola,2.0,"2.0 out of 5 stars
Don't get fooled",01/10/2023,By trying so many products finally came to dente 91. After using it almost 1 month+ i am concluding it also not doing its job perfectly.
vikas m.,3.0,"3.0 out of 5 stars
No improvement in whittening",28/05/2023,Good toothpaste but no whittening progress
Mohammad atif,1.0,"1.0 out of 5 stars
Size issue",14/01/2024,I have been using this since several months and earlier i received it in a bigger size and now the size has been reduced including the quantity  Fraudsters
Heena Aggarwal,4.0,"4.0 out of 5 stars
The product is good",14/05/2023,The taste of the toothpaste is very good
Binte zaheer,3.0,"3.0 out of 5 stars
Did not see any difference",23/05/2023,Did not see any difference
vijay Kumar Sharma,3.0,"3.0 out of 5 stars
Dente91",17/05/2023,It is so good as it's explain.
Anil Kumar,3.0,"3.0 out of 5 stars
Review after one month",14/02/2023,"I used it for one month and I didn't get any whiting on my teeth may be it's only work for those who have stains from very recently,i have this stains from last 10 years"
Placeholder,4.0,"4.0 out of 5 stars
Help to whiten your teeth",22/02/2023,"It's works as tell , whiten your teeth and remove stains to , I m using from one month . It give me result as promised."
Mehar Chand Premi,4.0,"4.0 out of 5 stars
Not that good.",27/01/2023,I have used it. But did not find any difference from other toothpaste. It is too expensive.seller should consider it. Please consider before buying it.
Neetu singh,4.0,"4.0 out of 5 stars
It works",27/12/2022,I have bought this product for my yellowish tone of my tooth and after 3 days of use I got excellent result and yellowish tone of my tooth just vanished! Excellent product for tooth whitining!
𝓐𝓴𝓼𝓱𝓪𝔂 𝓜𝓪𝓷𝓭𝓪𝓵,1.0,"1.0 out of 5 stars
A useless Item",13/11/2023,"Totally a useless item. I use it for more than 25 days but it doesn't change anything, tooth looks exactly the same it doesn't change a single bit of stain. And the main thing that it was the same product as Colgate mint flavour i think company poured Colgate in her tube and brand it. I suggest you not to buy this"
HARSHIT SHAH,3.0,"3.0 out of 5 stars
Not so effective",02/05/2023,Not so effective
Sanjay B.,2.0,"2.0 out of 5 stars
Cannot see any difference in the teeth stains",01/09/2023,As claimed there is no significant improvement in the stains on teethNot worth the money
Bhanu,2.0,"2.0 out of 5 stars
Nothing like it claims to be!!",04/04/2023,"Don't fall prey, it's nothing like it claims to be. Has this product claimed the same in countries like U.S., I would have taken them to court for false claims and have turned millionaire by getting claims. But Thanks to so lethargic Indian laws that such companies enjoy the benefits of fooling customers.Overpriced and false claiming product....go for regular ones."
Gagandeep Rathi,4.0,"4.0 out of 5 stars
Good toothpaste",26/02/2023,It feel good to use this paste but doesn't remove stains as advertised.
Shah N.,3.0,"3.0 out of 5 stars
Ordinary toothpaste",12/02/2023,It's just like a normal toothpaste not for stain removal ........ Almost 2weeks nothing happened yet
Saurabh bhatnagar,5.0,"5.0 out of 5 stars
Nice",13/10/2023,"Having good impact, taste is also good and fresh. Good to go..."
Sheela Joseph,3.0,"3.0 out of 5 stars
Don't see whitening effect",08/03/2023,Decent toothpaste but don't see any whitening effect
Mannat Kashyap,5.0,"5.0 out of 5 stars
It's really Amazing.",01/07/2023,"The media could not be loaded.
                



 I feel cool cool. 😅❤️ When I used this. I recommend to all of you to order this toothpaste. This really good for us teeth 😊Always smile and shine your teeth. And most imp. For me I like Freshness . And I got Fresh teeth through this one. It's really Good. ❤️"
Tejsingh Rathod,3.0,"3.0 out of 5 stars
Must buy never seen this type of paste",16/01/2023,"Statin come out with in 3 days,flavored is good. highly recommend to others & must buy."
Veena Dwivedi,4.0,"4.0 out of 5 stars
Good product",18/01/2023,Whitening capacity is quite good but they could have better option in flavour
yogesh dadhich,1.0,"1.0 out of 5 stars
Bakwas item",30/01/2024,Bakwas item
sujeet singh,5.0,"5.0 out of 5 stars
Excellent product",16/09/2023,Best for dental problems and gums. Good taste. Total package for dental oral health
Hss142,5.0,"5.0 out of 5 stars
Dentist recommended",18/09/2023,My dentist recommended it for stains on teeth. It started showing effect within week.
Sandip jadhav,5.0,"5.0 out of 5 stars
It's amazing",02/06/2023,My experience with this toothpaste is just amazing it's worth buying.it helps to remove stains frome our teeth in just few days uses. It works as they claim. It's great choice for everyone and it's also affordable so check it out for you and get visibile white smile. Stay smiling 😁
DR GULIA,4.0,"4.0 out of 5 stars
good product work",25/02/2023,nice product
Mehernosh B Mistry,5.0,"5.0 out of 5 stars
Good helpful in osmf",07/06/2023,Based on one month review i ordered second one. Its making the teeth thicker and stronger its like breathing out a new life in teeth. With regards to stains also i can see a difference best part is we can use this for long periods as its safe
Dhruvini Parmar,5.0,"5.0 out of 5 stars
Must have for perfect smile",08/05/2023,I’m in love with this product Dente 91 has been useful to me and has shown great results within week. I have braces and sometimes it’s hard to brush your teeth with regular toothpaste cause of Irritation in your mouth but Dente 91 have reduce my dullness of teeth and irritation tooMust purchase this one
SUCHITHRA BALIGA B,5.0,"5.0 out of 5 stars
The toothpaste really works",11/08/2023,The toothpaste helps with the stain removal and makes teeth whiter when compared to other main stream brands
Priyanka Karmakar,4.0,"4.0 out of 5 stars
Best👍",17/01/2023,ठीक-ठाक hai
Mohan,4.0,"4.0 out of 5 stars
Good product",18/01/2023,No answer
namita jain,5.0,"5.0 out of 5 stars
Nice Toothpaste",09/08/2023,Helped me remove my stain . Could see visible difference  within few days of using it .
Dhaneswar Nayak,5.0,"5.0 out of 5 stars
Excellent Toothpaste 👍",03/07/2023,"The product was recommended to me by a friend, and now I realize why he had so much good things to say about it. Good taste, good quality.A must-buy👌"
Hailkar K V,4.0,"4.0 out of 5 stars
Good for Teething",05/01/2023,falvor
Tejas Darji,2.0,"2.0 out of 5 stars
Not much helpful",13/07/2023,As i expected it's not worth to help teeth Cleaning
nirmala,5.0,"5.0 out of 5 stars
nice toothpaste",30/05/2023,This toothpaste removes stain and whiten your teeth in just 3 days and i highly recommend this product also it comes with a shade card where you can check the improvement of your teeth .
Ameena,3.0,"3.0 out of 5 stars
Product not upto the mark",07/01/2023,Dislike
Abhishek chhipa,2.0,"2.0 out of 5 stars
Not working",23/05/2023,So after use of 7 days I didn't feel that there is any tabacco strain removed from my teeth so totally wasted.
Ravindaranath,5.0,"5.0 out of 5 stars
Excellent products For Coffee Addict & sensitive",14/12/2022,"Dente 91 Anti-stain Expert Toothpaste is a Excellent products I Saw the difference in 3 days of use… it’s reduced brown and blackish stains in my teeth and this is my first experience with Lactoferrin based Toothpaste it’s something different from normal one, not only reduced stains and also reduced sensitivity related problems since I started using Dente 91 toothpaste I am very happy with this product…"
Sandeep Kumar,2.0,"2.0 out of 5 stars
Not effective 👎",28/06/2023,Bakwas hai kuch bhi nhi hota . Apna Paisa barbaad mat karo 😡
Amazon Customer,5.0,"5.0 out of 5 stars
Really good!",26/07/2023,It really works. I have tried after wine and it sparkles the teeth
Sandhya S.,5.0,"5.0 out of 5 stars
Use for 3 days and witness the miracle",03/11/2022,"Being a regular coffee user , I had some stain on my teeth ! Tried many products to clear the stain but nothing worked & with no expectation thought of trying Dente91 AntiStainExpert ! Used it for a week & believe me it did wonder . One of the best product ! Delivered what it promised ! A Must try product to clear dental stain kyo ki saare daag achhe nahi hote :)"
Kirti GUPTA,5.0,"5.0 out of 5 stars
Very nice to product",18/05/2023,I have purchased this Dente 91 toothpaste it is very nice and good for teeth whitening. It reduces the stains withing 3 days. Worth to buy
Erika yadav,5.0,"5.0 out of 5 stars
Nice toothpaste",07/06/2023,Very helpful for me I’ll purchase this for me after 4..5 days this toothpaste remove all stains and whiten my teeth I like this paste…👍
Vighnesh Gadekar,5.0,"5.0 out of 5 stars
Budget toothpaste",16/06/2023,"This toothpaste effectively removes teeth stains, providing a brighter smile. I'm happy with the product results. If stains are strong then results may vary from person to person."
Gourango Pradhan,5.0,"5.0 out of 5 stars
Best Toothbrushes",22/09/2023,"This is a slimsoft and charcoal toothbrushes. Since the day of purchase of the product. I am continuing to use it. I am very well satisfied with the used of the toothbrushes. The quality, softness, value of money and cleaning of the toothbrushes are too good. If you are not able to use hard tooth brush then go for soft slim tooth brush. It's money worth it. Thank you for reading this :)"
Placeholder,4.0,"4.0 out of 5 stars
Soft and good product",24/11/2023,It does not require any review.  Good product by Colgate .
akash verma,5.0,"5.0 out of 5 stars
Great Value for Money",15/07/2023,"I recently purchased the Colgate Slimsoft Charcoal Manual Toothbrush and got a fantastic deal with the ""Buy 2, Get 2 Free"" offer. The toothbrush is excellent, with its 17X slimmer tip bristles providing a thorough and gentle clean. The charcoal-infused bristles also leave my teeth feeling fresh and clean. The value for money is unbeatable, especially with the bonus of receiving four toothbrushes for the price of two. I highly recommend the Colgate Slimsoft Charcoal Manual Toothbrush for its effectiveness, affordability, and great deal."
Harshda,5.0,"5.0 out of 5 stars
Softest toothbrush",24/01/2024,So soft that my father don't use other toothbrushes
Mahesh Kumar agrawal,5.0,"5.0 out of 5 stars
Very good product quality",20/10/2023,It’s very soft brush to care the whole mouth…
Bijinraj,4.0,"4.0 out of 5 stars
good brushes",01/11/2023,very comfort to use
Nikhat zama,3.0,"3.0 out of 5 stars
Expensive",25/10/2023,Just OK product
prashant,5.0,"5.0 out of 5 stars
Best for old age people",18/02/2024,I bought it for my wife and grandmother. They love the soft feeling of brush's hair.  Both are very satisfied with the product. A great purchase.
Yash Gupta,4.0,"4.0 out of 5 stars
Soft",19/01/2024,This toothbrush is really soft.
arihant singh,5.0,"5.0 out of 5 stars
Nice",04/02/2024,Smmoth and soft as described in product info
Amazon Customer,5.0,"5.0 out of 5 stars
The perfect toothbrush ...",23/01/2024,The perfect toothbrush ...
SouraV,5.0,"5.0 out of 5 stars
Good",13/01/2024,Good
Nishat saifi,5.0,"5.0 out of 5 stars
Nice 👍",05/01/2024,Great Go for it 👍🥳
Praky,5.0,"5.0 out of 5 stars
Precise cleaning and soft on gums",26/12/2023,I have been using this toothbrush for more than 6 years now. It cleans deep and bristles are very soft. I usually experience a little pain in teeth when ot gets old which signals it is time to theow the old one.
Selendra singh,5.0,"5.0 out of 5 stars
Toothbrush",25/12/2023,Good always use this product
ABHINAV JHA,4.0,"4.0 out of 5 stars
Love this tooth brush using it for 6 month and bought again.",23/10/2023,Love this tooth brush using it for 6 month and bought again.
Naveen sharma,5.0,"5.0 out of 5 stars
Ok",10/12/2023,Good
S Z Alvi,5.0,"5.0 out of 5 stars
Softness",22/11/2023,Ideal for diabetic and with sensitivity in teeth. Very soft but effective.
Robinson.,5.0,"5.0 out of 5 stars
Softness material.",19/08/2023,"I search local shop in my Area , can't get this type of softness brush.only Amason will supply. I don't like use  the  hardness brush. I use this type of soft brush  no strain , and teeth  no tare. Is good and .easy handling brush(slim soft )every time I purchased (Amason  on line) the same model. Thank you."
Jagat,5.0,"5.0 out of 5 stars
nice brush",26/10/2023,soft & good
NabiSahib Y,4.0,"4.0 out of 5 stars
Nice cleaner and dependable",05/08/2023,Trust worthy
Sanjay,5.0,"5.0 out of 5 stars
Flexiblity",26/10/2023,Good
Sri,5.0,"5.0 out of 5 stars
Good purchase",26/09/2023,"Bristles are good, I just feel like it's a normal brush."
Arun,5.0,"5.0 out of 5 stars
Good and flexi",26/09/2023,narrow headsmooth toothmore life
Dilip Kumar Biswas,5.0,"5.0 out of 5 stars
Good",10/10/2023,Value for money.
Sushil,5.0,"5.0 out of 5 stars
Good quality product",03/10/2023,Good product
Vaishnavi Taneja,5.0,"5.0 out of 5 stars
Amazing",13/09/2023,Very nice quality product
Aathith,4.0,"4.0 out of 5 stars
Good to use",27/05/2023,"good soft, better breshing experience"
Arka Baleno,5.0,"5.0 out of 5 stars
Great cleaning between teeth",05/09/2023,"Soft, thin, penetrative everywhere."
Lakshmi l,5.0,"5.0 out of 5 stars
Soft and effective",12/08/2023,It is soft bristles. Durability is less but effective in whitening teeth.
Rajesh Premani,5.0,"5.0 out of 5 stars
Comfortable, value for money, easy on the gums.",07/08/2023,Product quality is good. Delivers good value as promised. Price is reasonable. Worth buying.
Chitra,5.0,"5.0 out of 5 stars
Smooth and comfortable",08/08/2023,"Smooth and comfortable to use, feel so soft"
Babu,4.0,"4.0 out of 5 stars
Super soft and comfort",31/03/2023,Go for it
Utsav Mewada,4.0,"4.0 out of 5 stars
Good product compare to other soft claiming brushes",16/11/2022,It's a good product specialist for deep gum cleaning and deep corner cleaning. Really soft just it's very sharp may not be suitable for soft gums.
Dippu Narzary,5.0,"5.0 out of 5 stars
Good for plagues",29/07/2023,As expected
Placeholder,4.0,"4.0 out of 5 stars
Best",13/01/2023,It is very light weight and soft.
Biplab Patra,4.0,"4.0 out of 5 stars
Good Product with softness",30/12/2022,
Ritesh Kumar,2.0,"2.0 out of 5 stars
Durability",26/09/2023,Not Durable
Davendra Singh Rathore,5.0,"5.0 out of 5 stars
Best in quality",15/05/2023,"So soft, best for sensitive teeth."
khurshid alam,1.0,"1.0 out of 5 stars
received bad/derformed product",24/10/2023,i really love to use this product but today i got received with almost deforme product which almost ruin my hope even the delivery guy took rupees 10 as compulsory charge even if i tell him i buy prepaid. i suggest to  buy offline because of  such ignorance in handling product and behaviour of delivery guy.
Anil Rajath Naik,5.0,"5.0 out of 5 stars
Life time commitment",20/06/2022,"Once you use this brush it's like a lifetime love affair. I tried to switch to the bamboo brushes for environmental reasons, but any other brush just doesn't suit, leading to bleeding issues as I have crooked teeth. But this brush is like magic for me."
Sushma allaboina,5.0,"5.0 out of 5 stars
Very soft and strong bristles",21/12/2022,"Using it from past few years, never bought any other toothbrush after using this, the bristles are soft on gums as well as sturdy to remove the plaque"
Souvagya Behera,5.0,"5.0 out of 5 stars
Brush",08/04/2023,Good
Ankit,3.0,"3.0 out of 5 stars
Good",20/01/2023,Good product
lopamudra mohapatra,4.0,"4.0 out of 5 stars
This brush is for me forever i.e. till my teeth fall off.",12/08/2022,Soft and comfortable
Detective motors,5.0,"5.0 out of 5 stars
Soft and small 👌",16/03/2023,"The media could not be loaded.
                



 Better brush for medium size mouth😂Much softer in segment"
Imran,5.0,"5.0 out of 5 stars
Awesome",04/01/2023,Brussels are very soft and they are gentle on gums..
Prosenjit Karmakar,5.0,"5.0 out of 5 stars
Excellent",05/02/2023,Excellent
Rajesh Kumar R,5.0,"5.0 out of 5 stars
Good product",18/01/2023,Good product and value for money
Sumit Pal,5.0,"5.0 out of 5 stars
Best Quality Product",08/01/2023,Best Quality Product
M A KHAN,5.0,"5.0 out of 5 stars
Great product",29/12/2022,It's perfect tooth brush
Nitin Sonar,5.0,"5.0 out of 5 stars
Well tested tooth brush",27/07/2022,"This is one of the best tooth brush with soft Brussel, I am using this product for many years now and fully satisfied."
Ashutosh Mishra,5.0,"5.0 out of 5 stars
Very Soft Bristles.",11/12/2022,Nice product.
Placeholder,5.0,"5.0 out of 5 stars
Go for it",27/12/2022,Highly recommended
Shiv Shankar Ash,3.0,"3.0 out of 5 stars
Ok purchase.",05/02/2020,"I've been using these kind of brushes for about 8 years now. They used to be very expensive at first, but now with all the buy 2 get 2 offers, the price has halved. They made the other Pack of 2 (total 8 brushes) out of stock, so I bought this. They didn't have a good deal so I spent Rs 150. (meh,  not happy about that). Try to buy the other pack with 8 brushes in total.Hope this review is helpful."
Mr P,5.0,"5.0 out of 5 stars
This is the toothpaste that I have been using for past 5 years",28/07/2022,This is the toothpaste that I have been using for past 5 years and I am satisfied with it.
DR GULIA,4.0,"4.0 out of 5 stars
good",24/03/2022,good
vinod das,5.0,"5.0 out of 5 stars
Softness",18/11/2022,Bristle and model
VADALI VENKATA LAKSHMI,5.0,"5.0 out of 5 stars
It is okay",04/11/2022,It is good
Regular Guy,5.0,"5.0 out of 5 stars
Soft Bristles Flex handle",12/02/2020,Why did I buy it?Was instructed by the dentist to go with a softer brushWhy do I like it?The handle has a bit of a flex which is comfortable and the bristles are soft. The color of the bristles fade over time which is a good indicator of when to change it.Will I buy it again?Of course!
Prasanna Moholkar,4.0,"4.0 out of 5 stars
Nice for sensative teeth and gum",08/06/2020,"Softness is good. For those whose teeth and gum sensative recommand this brush .Also small in size, ideal for children and adult also.For plaque need to press somewhat hard than regular brush."
Ritika Kodan,4.0,"4.0 out of 5 stars
Good",05/01/2022,
Amazon Customer,3.0,"3.0 out of 5 stars
Nice product",07/09/2022,Nice product
arjun,2.0,"2.0 out of 5 stars
Ok",30/03/2023,Ok
Arivudai Nambi M,4.0,"4.0 out of 5 stars
Good",01/01/2022,Good
Nishant,5.0,"5.0 out of 5 stars
Excellent",23/10/2022,Excellent
Sagar,3.0,"3.0 out of 5 stars
Cheap quality",02/08/2022,Wares out fast
Saddam Hossain,5.0,"5.0 out of 5 stars
Nice",28/07/2022,But price thoda Kam ho chakta he
Santosh Kumar,5.0,"5.0 out of 5 stars
Value for money, exellent",29/08/2022,"Value for money, exellent"
Dr.Jashabanta kumar kumuti,5.0,"5.0 out of 5 stars
Happy🥰 Pack of (4  X 2 )Got genuine product as Described.",29/01/2020,Kindly don't post unnecessary things which misguide people.Got Pack of 8 no.s  (4  X 2 ) genuine product as Described Colgate slim soft charcoal brush. Using it for last 8yrs and my favourite too.Strictly recommend because 1 brush in local market is for ₹75 got 8 for ₹300 in Amazon.Fully Happy 🥰
Vishal,5.0,"5.0 out of 5 stars
Soft and comfortable brushing",16/09/2022,Value for money
upasna gupta,5.0,"5.0 out of 5 stars
Best brush I have used till now..👍",11/03/2020,4 brushes for such an affordable price. Brush quality is superb. It best for those who wants soft bristles n have plaque problems. Cz it reaches to every corner of mouth n teeth. Love how soft it's neck as well. I have crowded teeth n This brush was recommended by my dentist n m completely satisfied.
Gurveer,5.0,"5.0 out of 5 stars
Go for it",04/05/2022,Very good quality product. Using from last 2 years
SHASHI BHUSHAN KUMAR,5.0,"5.0 out of 5 stars
Soft",05/09/2022,Good Toothbrush
Ajit Kumar Sanghi,5.0,"5.0 out of 5 stars
Long Lasting and Very Nice Item",24/03/2022,"Everything is likeable about this toothbrush, and its soft touch is very touching, indeed."
MANAS BHATTACHARJEE,5.0,"5.0 out of 5 stars
GOOD",25/08/2022,GOOD
Sushil sahani,5.0,"5.0 out of 5 stars
Most comfortable tooth brush!!!",06/09/2022,Comfortable
Jyotsna,5.0,"5.0 out of 5 stars
Slim and soft",06/02/2020,"This toothbrush is awesome. It is slim enough to reach deep inside where my earlier toothbrush could not reach. Also, it is soft enough to give the feel of a massage to the gums. The handle provides a strong grip too. Plus value for money."
Anupriya singh,5.0,"5.0 out of 5 stars
Ultra soft bristles",20/12/2021,I love these brush. It’s super soft & very easy on uour teeths
Rambir,3.0,"3.0 out of 5 stars
Good",10/11/2021,Very nice smooth .
Nikhil,5.0,"5.0 out of 5 stars
Go for it 😃",04/01/2022,It is very good for the money.
Placeholder,5.0,"5.0 out of 5 stars
I loved them",29/08/2021,"I loved the product, it is value for money!! YOu can buy it :)"
Shashwat,3.0,"3.0 out of 5 stars
Too soft and no tongue cleaner",24/07/2021,Does not have tongue cleaner
Ravi Singh,5.0,"5.0 out of 5 stars
Start using this brush right now",01/09/2021,If you want your gum strong then start using this brush
Amit Kulkarni,5.0,"5.0 out of 5 stars
On time delivery",18/02/2022,Soft toothbrush
Manish Kumar Yadav,4.0,"4.0 out of 5 stars
Also good for children",04/03/2020,Its a nice item and softness is too good
Awasing,4.0,"4.0 out of 5 stars
Awesome",29/07/2020,One of the best toothbrush
Supriya Rege,4.0,"4.0 out of 5 stars
Soft",05/06/2020,Like it ..go for it soft
Avinash yadav,4.0,"4.0 out of 5 stars
Best deal",22/05/2020,Little bit harder but best deal
Abhijit wakode,3.0,"3.0 out of 5 stars
Helpfull for children..",28/05/2020,It does not indicate whether the brush is for a man or a child actually this brush is helpfull for children...
Dr. Ram Kishor,5.0,"5.0 out of 5 stars
Best quality product",28/12/2021,Like
Shahab Mohammad,4.0,"4.0 out of 5 stars
Not that soft",06/07/2020,Not that soft
Gamerock Guri,5.0,"5.0 out of 5 stars
Useful product!",28/01/2022,"The media could not be loaded.
                



 Softness and comfort as well."
Pinky kumari,5.0,"5.0 out of 5 stars
Excellent",08/07/2020,This brush is osm. This is very very very soft. Price is also good. You all can buy this product with no doubt.
arnab Saha,4.0,"4.0 out of 5 stars
Value 4 money product",03/07/2020,Value 4 money
Arnoy Banik,4.0,"4.0 out of 5 stars
Very good",20/06/2020,Brilliant tooth brush
paul rai,5.0,"5.0 out of 5 stars
Best one",11/12/2023,"It's the best toothbrush, top one, I am tooth researcher, i know the effect and safety of tooth of brushing."
sumit kumar,4.0,"4.0 out of 5 stars
Nice product",23/06/2020,Nice
Kanika Bhatti,5.0,"5.0 out of 5 stars
Worth the Cost",12/10/2021,So Soft
J L,5.0,"5.0 out of 5 stars
Favourite.",08/03/2020,My favourite toothbrush since a long time. You get to know it's time to change when the bristle tips get lighter in colour.
Suresh,5.0,"5.0 out of 5 stars
Good paste",24/11/2023,Freshness and good oral hygiene
Mohd sahil,4.0,"4.0 out of 5 stars
Cheap in sale",17/02/2024,Quality is good with freshness but germs cleaning could have been better
bhupendra prasad sinha,5.0,"5.0 out of 5 stars
Original colgate past",10/02/2024,Quick delivery in scheduled time. In this price quantities is so good.
Rohinton,5.0,"5.0 out of 5 stars
Good product",23/12/2023,Good.
Harihar Nayak,5.0,"5.0 out of 5 stars
Good",09/01/2024,Best to market price
jitender kumar,4.0,"4.0 out of 5 stars
Good as always",16/01/2024,"It's good toothpaste, but i would suggest you to go for Colgate Sensitive. That contains less harmful chemicals than this one varient."
Amazon Customer,5.0,"5.0 out of 5 stars
My favorite",11/01/2024,It is good for cavity and effective.
DEBANGSHU Sarkar,3.0,"3.0 out of 5 stars
normal",06/08/2023,the toothpaste is just like another normal colgate toothpaste and don't have any specialty and doesn't remove any bad breaths
MANIRUZZAMAN,5.0,"5.0 out of 5 stars
Satisfied",28/01/2024,Good toothpaste
